signal,timestamp,value,unit,quality,can_id,channel
Vehicle_Speed,2026-07-10T10:09:36.205120+00:00,1.5,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:36.208288+00:00,1.5,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:36.265542+00:00,0.6,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:36.268837+00:00,0.6,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:36.326137+00:00,0.3,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:36.329392+00:00,0.3,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:36.386042+00:00,0.1,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:36.388883+00:00,0.1,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:36.447660+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:36.451714+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:36.507696+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:36.514214+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:36.568740+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:36.571068+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:36.629545+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:36.632843+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:36.689954+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:36.692369+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:36.750071+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:36.754194+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:36.811657+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:36.813852+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:36.873205+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:36.876189+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:36.932779+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:36.934904+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:36.991991+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:37.008885+00:00,0.0,km/h,good,0x51,CAN1
